## Most of these Rules are 
Description	Resource	Path	Location	Type
#1497-D (MISRA-C:2004 5.7/A) No identifier name should be reused ("Reserved")	TM4C123xx.h	/MegaProject/LIB	line 203	C/C++ Problem
#1497-D (MISRA-C:2004 5.7/A) No identifier name should be reused ("Reserved")	TM4C123xx.h	/MegaProject/LIB	line 254	C/C++ Problem
#1497-D (MISRA-C:2004 5.7/A) No identifier name should be reused ("Reserved")	TM4C123xx.h	/MegaProject/LIB	line 332	C/C++ Problem
#1497-D (MISRA-C:2004 5.7/A) No identifier name should be reused ("Reserved2")	TM4C123xx.h	/MegaProject/LIB	line 143	C/C++ Problem
#1497-D (MISRA-C:2004 5.7/A) No identifier name should be reused ("Reserved2")	TM4C123xx.h	/MegaProject/LIB	line 258	C/C++ Problem
#1497-D (MISRA-C:2004 5.7/A) No identifier name should be reused ("Reserved3")	TM4C123xx.h	/MegaProject/LIB	line 145	C/C++ Problem
#1497-D (MISRA-C:2004 5.7/A) No identifier name should be reused ("Reserved3")	TM4C123xx.h	/MegaProject/LIB	line 265	C/C++ Problem
#1497-D (MISRA-C:2004 5.7/A) No identifier name should be reused ("Reserved4")	TM4C123xx.h	/MegaProject/LIB	line 147	C/C++ Problem
#1497-D (MISRA-C:2004 5.7/A) No identifier name should be reused ("Reserved4")	TM4C123xx.h	/MegaProject/LIB	line 272	C/C++ Problem
#1497-D (MISRA-C:2004 5.7/A) No identifier name should be reused ("Reserved5")	TM4C123xx.h	/MegaProject/LIB	line 149	C/C++ Problem
#1497-D (MISRA-C:2004 5.7/A) No identifier name should be reused ("Reserved5")	TM4C123xx.h	/MegaProject/LIB	line 279	C/C++ Problem
#1497-D (MISRA-C:2004 5.7/A) No identifier name should be reused ("Reserved6")	TM4C123xx.h	/MegaProject/LIB	line 286	C/C++ Problem
#1497-D (MISRA-C:2004 5.7/A) No identifier name should be reused ("Reserved7")	TM4C123xx.h	/MegaProject/LIB	line 288	C/C++ Problem
#1497-D (MISRA-C:2004 5.7/A) No identifier name should be reused ("Reserved8")	TM4C123xx.h	/MegaProject/LIB	line 297	C/C++ Problem
#1497-D (MISRA-C:2004 5.7/A) No identifier name should be reused ("Reserved9")	TM4C123xx.h	/MegaProject/LIB	line 306	C/C++ Problem
#1497-D (MISRA-C:2004 5.7/A) No identifier name should be reused ("RIS")	TM4C123xx.h	/MegaProject/LIB	line 92	C/C++ Problem
#1497-D (MISRA-C:2004 5.7/A) No identifier name should be reused ("RIS")	TM4C123xx.h	/MegaProject/LIB	line 205	C/C++ Problem
#1497-D (MISRA-C:2004 5.7/A) No identifier name should be reused ("RIS")	TM4C123xx.h	/MegaProject/LIB	line 244	C/C++ Problem
#1497-D (MISRA-C:2004 5.7/A) No identifier name should be reused ("RIS")	TM4C123xx.h	/MegaProject/LIB	line 342	C/C++ Problem
#1497-D (MISRA-C:2004 5.7/A) No identifier name should be reused ("RIS")	TM4C123xx.h	/MegaProject/LIB	line 372	C/C++ Problem
#1497-D (MISRA-C:2004 5.7/A) No identifier name should be reused ("Sequencer")	ADC.h	/MegaProject/MCAL/ADC	line 55	C/C++ Problem
#1497-D (MISRA-C:2004 5.7/A) No identifier name should be reused ("SYNC")	TM4C123xx.h	/MegaProject/LIB	line 367	C/C++ Problem
#1498-D (MISRA-C:2004 6.3/A) typedefs that indicate size and signedness should be used in place of the basic numerical types	main.c	/MegaProject	line 22	C/C++ Problem
